id,editor_id,date,date_gmt,content,title,excerpt,status,comment_status,ping_status,name,modified,modified_gmt,parent,guid,type,mime_type
136,1,6/1/2017,6/1/2017,<p>CHIEFTAIN READS YOUR GAMING EMAILS (LOP: S05)</P>,CHIEFTAIN READS YOUR GAMING EMAILS (LOP: S05),,inherit,closed,closed,92-autosave-v1,6/1/2017,6/1/2017,92,http://www.lagginout.com/?p=136,revision,
137,1,6/1/2017,6/1/2017,<p>Chieftain and Storm are back with the first reaction video of the year! Anonymous hacker trolling returns but to Modern Warfare!</p>,Example Video 9,,inherit,closed,closed,94-autosave-v1,6/1/2017,6/1/2017,94,http://www.lagginout.com/?p=137,revision,
138,1,6/1/2017,6/1/2017,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent tempus eleifend risus ut congue. Pellentesque nec lacus elit. Pellentesque convallis nisi ac augue pharetra eu tristique neque consequat. Mauris ornare tempor nulla, vel sagittis diam convallis eget.</p><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent tempus eleifend risus ut congue. Pellentesque nec lacus elit. Pellentesque convallis nisi ac augue pharetra eu tristique neque consequat. Mauris ornare tempor nulla, vel sagittis diam convallis eget.</p><blockquote><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer posuere erat a ante.</p><small>Someone famous <cite title='Source Title'>Source Title</cite></small> </blockquote><p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent tempus eleifend risus ut congue. Pellentesque nec lacus elit. Pellentesque convallis nisi ac augue pharetra eu tristique neque consequat. Mauris ornare tempor nulla, vel sagittis diam convallis eget.</p><dl class='dl-horizontal'> <dt>Description lists</dt> <dd>A description list is perfect for defining terms.</dd> <dt>Euismod</dt> <dd>Vestibulum id ligula porta felis euismod semper eget lacinia odio sem nec elit.</dd> <dd>Donec id elit non mi porta gravida at eget metus.</dd> <dt>Malesuada porta</dt> <dd>Etiam porta sem malesuada magna mollis euismod.</dd> <dt>Felis euismod semper eget lacinia</dt> <dd>Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus.</dd> </dl>",THE MUSLIM BAN VS GAMING (LOP: S05),,inherit,closed,closed,86-autosave-v1,6/1/2017,6/1/2017,86,http://www.lagginout.com/?p=138,revision,
140,1,6/1/2017,6/1/2017,<p>MR STEAL YOUR GIRL (DAUGHTER EDITION) REACTION VIDEO!.</p>,MR STEAL YOUR GIRL 7: REACTION (LOP: S04),,inherit,closed,closed,87-autosave-v1,6/1/2017,6/1/2017,87,http://www.lagginout.com/?p=140,revision,
142,1,6/1/2017,6/1/2017,<p>CAUTION: VIDEO NOT SUITED FOR SQUEAMISH VIEWERS!<,ANONYMOUS HACKER TROLLING: Part2 (LOP: S04),,inherit,closed,closed,88-autosave-v1,6/1/2017,6/1/2017,88,http://www.lagginout.com/?p=142,revision,
145,1,6/1/2017,6/1/2017,<p>Real laughter plus something you have never seen before from one of our hosts!</p>,ANONYMOUS HACKER TROLLING 10 Part 1 (LOP: S04),,inherit,closed,closed,89-autosave-v1,6/1/2017,6/1/2017,89,http://www.lagginout.com/?p=145,revision,
147,1,6/1/2017,6/1/2017,"For some reason, kids rage so much, especially when they are TROLLED",MISSED CALL TROLLING 9 REACTION (LOP: S04),,publish,open,closed,missed-call-trolling-9-reaction-lop-s04,1/9/2018,1/9/2018,0,http://www.lagginout.com/?post_type=listing_type&#038;p=147,listing_type,
148,1,6/1/2017,6/1/2017,"<p> For some reason, kids rage so much, especially when t",MISSED CALL TROLLING 9 REACTION (LOP: S04),,inherit,closed,closed,147-autosave-v1,6/1/2017,6/1/2017,147,http://www.lagginout.com/?p=148,revision,
150,1,6/1/2017,6/1/2017,"<p>You all know we thrift started this SHIT!</p> <br> <br> <img src=""http://www.lagginout.com/wp-content/uploads/2017/06/dancing.gif",How LagginOut Started...,,inherit,closed,closed,93-autosave-v1,6/1/2017,6/1/2017,93,http://www.lagginout.com/?p=150,revision,
152,1,6/1/2017,6/1/2017,How to piss someone off!,MISSED CALL TROLLING 8 REACTION (LOP: S04),,publish,open,closed,missed-call-trolling-8-reaction-lop-s04,1/9/2018,1/9/2018,0,http://www.lagginout.com/?post_type=listing_type&#038;p=152,listing_type,
154,1,6/1/2017,6/1/2017,"The gamer gorgeous, Niki Crow is back for the final time this season to react to Mashed video, The Secret History Of Mortal Kombat! ? her out at youtube.com/nikicrow2",Secret History Of Mortal Kombat Reaction (LOP: S04),,publish,open,closed,secret-history-of-mortal-kombat-reaction-lop-s04,1/9/2018,1/9/2018,0,http://www.lagginout.com/?post_type=listing_type&#038;p=154,listing_type,
157,1,10/17/2017,10/17/2017,,circle_text_logo_black,,inherit,open,closed,circle_text_logo_black,10/17/2017,10/17/2017,0,http://www.lagginout.com/wp-content/uploads/2017/10/circle_text_logo_black.png,attachment,image/png
173,1,10/17/2017,10/17/2017,.headbox h5 { color: #ad0a20;} .headbox h4 { color: black;},VT,,inherit,closed,closed,128-revision-v1,10/17/2017,10/17/2017,128,http://www.lagginout.com/?p=173,revision,
175,1,10/17/2017,10/17/2017,.headbox h5 { color: #ad0a20;} .headbox h4 { color: #ad0a20;},VT,,inherit,closed,closed,128-revision-v1,10/17/2017,10/17/2017,128,http://www.lagginout.com/?p=175,revision,
177,1,10/17/2017,10/17/2017,,VT,,inherit,closed,closed,128-revision-v1,10/17/2017,10/17/2017,128,http://www.lagginout.com/?p=177,revision,
185,1,10/17/2017,10/17/2017,,Articles,,publish,closed,closed,articles-reviews,1/5/2018,1/5/2018,0,http://www.lagginout.com/?p=185,nav_menu_item,
193,1,10/17/2017,10/17/2017,.headbox h5 { color: #ad0a20;} .headbox h4 { color: #ad0a20;},VT,,inherit,closed,closed,128-revision-v1,10/17/2017,10/17/2017,128,http://www.lagginout.com/?p=193,revision,
199,36,11/1/2017,11/1/2017,"<p style=""text-align: center;""><img src=""http://www.lagginout.com/wp-content/uploads/2017/11/Zelda-300x169.jpg"" alt="""" class=""wp-image-200 aligncenter"" width=""689"" height=""388"" /></p> - <em>Tardis2238 </em> In 1998, Nintendo created a game that would become one of the greatest games for many gamers; that game was <em>The Legend of Zelda: Ocarina of Time</em>. It would go on to be the benchmark for what a good game should be and went down as a classic, as well. So when Nintendo announced a remastered version of the game on the 3DS, people jumped at the chance to either play it again or play it for the first time. You play as a young boy who, after helping the guardian of your forest, receives a grand quest to save the world. This journey would include swords, monsters, time travel, and world domination. The new, remastered graphics are amazing, showing us that all this really needed was a fresh coat of paint to make it seem modern- but they also made some minor tweaks to the game to make it more enjoyable. They've also added “The Master Quest” for an added challenge. And, with the 3DS’ dual screens, the bottom screen can show your map, so you never get lost. As in the original, the combat is great and a lot of fun, inspiring a lot of other games in other series. Nintendo really went the extra mile to improve their already very successful title, making this the best way you can play <em>Ocarina of Time</em>. I give this game a 9.5/10-close to perfect. &nbsp; <img src=""http://www.lagginout.com/wp-content/uploads/2017/11/Zelda-300x169.jpg"" alt="""" class=""alignnone size-medium wp-image-200"" width=""300"" height=""169"" />",Improving Upon Perfection: The Legend of Zelda Ocarina of Time 3D,,publish,open,open,improving-upon-perfection-the-legend-of-zelda-ocarina-of-time-3d,1/9/2018,1/9/2018,0,http://www.lagginout.com/?p=199,post,
200,36,11/1/2017,11/1/2017,,Zelda,,inherit,open,closed,zelda,11/1/2017,11/1/2017,199,http://www.lagginout.com/wp-content/uploads/2017/11/Zelda.jpg,attachment,image/jpeg
201,36,11/1/2017,11/1/2017,"<img src=""http://www.lagginout.com/wp-content/uploads/2017/11/Zelda-300x169.jpg"" alt="""" width=""501"" height=""282"" class=""alignnone wp-image-200"" /> - <em>Tardis2238 </em> In 1998, Nintendo created a game that would become one of the greatest games for many gamers; that game was <em>The Legend of Zelda: Ocarina of Time</em>. It would go on to be the benchmark for what a good game should be and went down as a classic, as well. So when Nintendo announced a remastered version of the game on the 3DS, people jumped at the chance to either play it again or play it for the first time. You play as a young boy who, after helping the guardian of your forest, receives a grand quest to save the world. This journey would include swords, monsters, time travel, and world domination. The new, remastered graphics are amazing, showing us that all this really needed was a fresh coat of paint to make it seem modern- but they also made some minor tweaks to the game to make it more enjoyable. They've also added “The Master Quest” for an added challenge. And, with the 3DS’ dual screens, the bottom screen can show your map, so you never get lost. As in the original, the combat is great and a lot of fun, inspiring a lot of other games in other series. Nintendo really went the extra mile to improve their already very successful title, making this the best way you can play <em>Ocarina of Time</em>. I give this game a 9.5/10-close to perfect.",Improving Upon Perfection: The Legend of Zelda Ocarina of Time 3D,,inherit,closed,closed,199-revision-v1,11/1/2017,11/1/2017,199,http://www.lagginout.com/?p=201,revision,
202,36,11/1/2017,11/1/2017,"<img src=""http://www.lagginout.com/wp-content/uploads/2017/11/Zelda-300x169.jpg"" alt="""" width=""501"" height=""282"" class=""wp-image-200 aligncenter"" /> - <em>Tardis2238 </em> In 1998, Nintendo created a game that would become one of the greatest games for many gamers; that game was <em>The Legend of Zelda: Ocarina of Time</em>. It would go on to be the benchmark for what a good game should be and went down as a classic, as well. So when Nintendo announced a remastered version of the game on the 3DS, people jumped at the chance to either play it again or play it for the first time. You play as a young boy who, after helping the guardian of your forest, receives a grand quest to save the world. This journey would include swords, monsters, time travel, and world domination. The new, remastered graphics are amazing, showing us that all this really needed was a fresh coat of paint to make it seem modern- but they also made some minor tweaks to the game to make it more enjoyable. They've also added “The Master Quest” for an added challenge. And, with the 3DS’ dual screens, the bottom screen can show your map, so you never get lost. As in the original, the combat is great and a lot of fun, inspiring a lot of other games in other series. Nintendo really went the extra mile to improve their already very successful title, making this the best way you can play <em>Ocarina of Time</em>. I give this game a 9.5/10-close to perfect.",Improving Upon Perfection: The Legend of Zelda Ocarina of Time 3D,,inherit,closed,closed,199-revision-v1,11/1/2017,11/1/2017,199,http://www.lagginout.com/?p=202,revision,
204,36,11/1/2017,11/1/2017,"<p style=""text-align: center;"">https://www.patreon.com/posts/improving-upon-14599662<img src=""http://www.lagginout.com/wp-content/uploads/2017/11/Zelda-300x169.jpg"" alt="""" width=""501"" height=""282"" class=""wp-image-200 aligncenter"" /></p> - <em>Tardis2238 </em> In 1998, Nintendo created a game that would become one of the greatest games for many gamers; that game was <em>The Legend of Zelda: Ocarina of Time</em>. It would go on to be the benchmark for what a good game should be and went down as a classic, as well. So when Nintendo announced a remastered version of the game on the 3DS, people jumped at the chance to either play it again or play it for the first time. You play as a young boy who, after helping the guardian of your forest, receives a grand quest to save the world. This journey would include swords, monsters, time travel, and world domination. The new, remastered graphics are amazing, showing us that all this really needed was a fresh coat of paint to make it seem modern- but they also made some minor tweaks to the game to make it more enjoyable. They've also added “The Master Quest” for an added challenge. And, with the 3DS’ dual screens, the bottom screen can show your map, so you never get lost. As in the original, the combat is great and a lot of fun, inspiring a lot of other games in other series. Nintendo really went the extra mile to improve their already very successful title, making this the best way you can play <em>Ocarina of Time</em>. I give this game a 9.5/10-close to perfect.",Improving Upon Perfection: The Legend of Zelda Ocarina of Time 3D,,inherit,closed,closed,199-revision-v1,11/1/2017,11/1/2017,199,http://www.lagginout.com/?p=204,revision,
205,36,11/1/2017,11/1/2017,"<p style=""text-align: center;"">https://www.patreon.com/posts/improving-upon-14599662<img src=""http://www.lagginout.com/wp-content/uploads/2017/11/Zelda-300x169.jpg"" alt="""" width=""689"" height=""388"" class=""wp-image-200 aligncenter"" /></p> - <em>Tardis2238 </em> In 1998, Nintendo created a game that would become one of the greatest games for many gamers; that game was <em>The Legend of Zelda: Ocarina of Time</em>. It would go on to be the benchmark for what a good game should be and went down as a classic, as well. So when Nintendo announced a remastered version of the game on the 3DS, people jumped at the chance to either play it again or play it for the first time. You play as a young boy who, after helping the guardian of your forest, receives a grand quest to save the world. This journey would include swords, monsters, time travel, and world domination. The new, remastered graphics are amazing, showing us that all this really needed was a fresh coat of paint to make it seem modern- but they also made some minor tweaks to the game to make it more enjoyable. They've also added “The Master Quest” for an added challenge. And, with the 3DS’ dual screens, the bottom screen can show your map, so you never get lost. As in the original, the combat is great and a lot of fun, inspiring a lot of other games in other series. Nintendo really went the extra mile to improve their already very successful title, making this the best way you can play <em>Ocarina of Time</em>. I give this game a 9.5/10-close to perfect.<img src=""http://www.lagginout.com/wp-content/uploads/2017/11/Zelda-300x169.jpg"" alt="""" width=""300"" height=""169"" class=""alignnone size-medium wp-image-200"" />",Improving Upon Perfection: The Legend of Zelda Ocarina of Time 3D,,inherit,closed,closed,199-autosave-v1,11/1/2017,11/1/2017,199,http://www.lagginout.com/?p=205,revision,
206,36,11/1/2017,11/1/2017,"<p style=""text-align: center;"">https://www.patreon.com/posts/improving-upon-14599662<img src=""http://www.lagginout.com/wp-content/uploads/2017/11/Zelda-300x169.jpg"" alt="""" width=""689"" height=""388"" class=""wp-image-200 aligncenter"" /></p> - <em>Tardis2238 </em> In 1998, Nintendo created a game that would become one of the greatest games for many gamers; that game was <em>The Legend of Zelda: Ocarina of Time</em>. It would go on to be the benchmark for what a good game should be and went down as a classic, as well. So when Nintendo announced a remastered version of the game on the 3DS, people jumped at the chance to either play it again or play it for the first time. You play as a young boy who, after helping the guardian of your forest, receives a grand quest to save the world. This journey would include swords, monsters, time travel, and world domination. The new, remastered graphics are amazing, showing us that all this really needed was a fresh coat of paint to make it seem modern- but they also made some minor tweaks to the game to make it more enjoyable. They've also added “The Master Quest” for an added challenge. And, with the 3DS’ dual screens, the bottom screen can show your map, so you never get lost. As in the original, the combat is great and a lot of fun, inspiring a lot of other games in other series. Nintendo really went the extra mile to improve their already very successful title, making this the best way you can play <em>Ocarina of Time</em>. I give this game a 9.5/10-close to perfect. &nbsp; <img src=""http://www.lagginout.com/wp-content/uploads/2017/11/Zelda-300x169.jpg"" alt="""" width=""300"" height=""169"" class=""alignnone size-medium wp-image-200"" />",Improving Upon Perfection: The Legend of Zelda Ocarina of Time 3D,,inherit,closed,closed,199-revision-v1,11/1/2017,11/1/2017,199,http://www.lagginout.com/?p=206,revision,
211,36,11/1/2017,11/1/2017,"&nbsp; <a href=""http://www.lagginout.com/?attachment_id=212""><img src=""http://www.lagginout.com/wp-content/uploads/2017/11/SWBETA-1024x576.jpg"" alt="""" class=""aligncenter wp-image-212 size-large"" width=""1024"" height=""576"" /></a> <em>- Tardis2238</em> The <em>Star Wars Battlefront 2 </em>beta has come and gone and while it has the makings of a good game, there are some areas I’m concerned about. Here are my thoughts. Pay-to-win aspects are available in game with loot boxes offering upgrades and cosmetics in the same loot box, so if you wanted to pay real money instead of earning in-game credits you could end up getting stronger weapons than other people at your level. But on the contrary, if you’re trying to get a stronger weapon, it would be annoying if you kept getting cosmetic changes since they share the same boxes. The beta also lagged a lot but that’s to be expected.: The game has done away with tokens from <em>Battlefront</em>. These tokens would let you be one of the iconic heroes or villains. In <em>Battlefront 2</em>, you have the ability to gain points to be a hero, villain, or a vehicle and that seems to be a better fit than the tokens. The gameplay seems well done, but the odds seem to be in the Droids’ favor in each stage, which kinda sucks. All in all, it seems like a good game but not one I will be picking up when it comes out. It seems like the biggest thing it has going for it is the <em>Star Wars </em>name and that’s never a good thing, but maybe I’m wrong—maybe it will be amazing come this November. I give this beta a 7/10 worth a shot.",Star Wars Battlefront 2 Beta: A First Look,,publish,open,open,211,1/9/2018,1/9/2018,0,http://www.lagginout.com/?p=211,post,
